0: 0, 0, 0, 0, 0, 0
1: 0, 1, 1, 1, 1, 1
2: 0, 2, 2, 2, 2, 2
3: 0, 3, 3, 3, 3, 3
4: 0, 4, 4, 4, 4, 4
5: 1, 0, 4, 3, 2, 1
6: 1, 1, 0, 4, 3, 2
7: 1, 2, 1, 0, 4, 3
8: 1, 3, 2, 1, 0, 4
9: 1, 4, 3, 2, 1, 0
10: 2, 0, 3, 1, 4, 2
11: 2, 1, 4, 2, 0, 3
12: 2, 2, 0, 3, 1, 4
13: 2, 3, 1, 4, 2, 0
14: 2, 4, 2, 0, 3, 1
15: 3, 0, 2, 4, 1, 3
16: 3, 1, 3, 0, 2, 4
17: 3, 2, 4, 1, 3, 0
18: 3, 3, 0, 2, 4, 1
19: 3, 4, 1, 3, 0, 2
20: 4, 0, 1, 2, 3, 4
21: 4, 1, 2, 3, 4, 0
22: 4, 2, 3, 4, 0, 1
23: 4, 3, 4, 0, 1, 2
24: 4, 4, 0, 1, 2, 3
